OBJECTID,latitude,longitude,Name,Data_Source,H2_pct,H2_ppm
7,58.231111215000055,-155.08222207399993,"Trident, 29.2","Zgonnik, V. (2020). The occurrence and geoscience of natural hydrogen: A comprehensive review. Earth-Science Reviews, 203, 103140. https://doi.org/10.1016/j.earscirev.2020.103140",29.2,null
8,59.36543458400008,-153.44172210799996,"Augustine, 51.5","Zgonnik, V. (2020). The occurrence and geoscience of natural hydrogen: A comprehensive review. Earth-Science Reviews, 203, 103140. https://doi.org/10.1016/j.earscirev.2020.103140",51.5,null
177,38.62272259500001,-123.13460301699998,"Austin Creek, 15.7","Zgonnik, V. (2020). The occurrence and geoscience of natural hydrogen: A comprehensive review. Earth-Science Reviews, 203, 103140. https://doi.org/10.1016/j.earscirev.2020.103140",15.7,null
178,38.62163796200007,-123.13247937499995,"Barnes Spring, 39.2","Zgonnik, V. (2020). The occurrence and geoscience of natural hydrogen: A comprehensive review. Earth-Science Reviews, 203, 103140. https://doi.org/10.1016/j.earscirev.2020.103140",39.2,null
180,38.62161100000003,-123.13152799999996,"BSC","Morrill, P. L., Kuenen, J. G., Johnson, O. J., Suzuki, S., Rietze, A., Sessions, A. L., Fogel, M. L., & Nealson, K. H. (2013). Geochemistry and geobiology of a present-day serpentinization site in California: The Cedars. Geochimica et Cosmochimica Acta, 1",34,null
181,38.59601124700003,-123.12263155099997,"Camp Spring, 50.9","Zgonnik, V. (2020). The occurrence and geoscience of natural hydrogen: A comprehensive review. Earth-Science Reviews, 203, 103140. https://doi.org/10.1016/j.earscirev.2020.103140",50.9,null
182,39.70640000000003,-122.9251,"39434","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",4.1,null
183,38.59696776800006,-122.60213402599999,"Sonoma, 14.7","Zgonnik, V. (2020). The occurrence and geoscience of natural hydrogen: A comprehensive review. Earth-Science Reviews, 203, 103140. https://doi.org/10.1016/j.earscirev.2020.103140",14.7,null
186,46.191199997000076,-122.19439999899998,"Mount St. Helens, 10.8","Zgonnik, V. (2020). The occurrence and geoscience of natural hydrogen: A comprehensive review. Earth-Science Reviews, 203, 103140. https://doi.org/10.1016/j.earscirev.2020.103140",10.8,null
189,38.00986000000005,-121.97918999999997,"38350","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.1,null
205,35.870000005000065,-121.27349995399997,"Burro, 70","Zgonnik, V. (2020). The occurrence and geoscience of natural hydrogen: A comprehensive review. Earth-Science Reviews, 203, 103140. https://doi.org/10.1016/j.earscirev.2020.103140",70,null
207,37.09884538600004,-121.04788456899996,"O'Neil pumping plant, 57.7","Zgonnik, V. (2020). The occurrence and geoscience of natural hydrogen: A comprehensive review. Earth-Science Reviews, 203, 103140. https://doi.org/10.1016/j.earscirev.2020.103140",57.7,null
209,35.89904100000006,-120.43277404199995,"SAFOD, 13.3","Zgonnik, V. (2020). The occurrence and geoscience of natural hydrogen: A comprehensive review. Earth-Science Reviews, 203, 103140. https://doi.org/10.1016/j.earscirev.2020.103140",13.3,null
213,35.22946944400007,-119.58119722199996,"78348","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",4.1,null
240,47.50399600000002,-111.54549149999997,"36640","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",19.5,null
267,43.22977490000005,-111.25349269999998,"39020","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",2,null
288,34.83000000000003,-110.61999999999995,"Well #2","Desert Mountain Energy. (2023). Desert Mountain Energy discovers commercial helium/hydrogen well. https://www.desertmountainenergy.com/desert-mountain-energy-discovers-commercial-helium-hydrogen-well/",3.82,null
295,42.51267000000007,-110.47764999999998,"40980","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.1,null
296,42.51267000000007,-110.47764999999998,"50968","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.6,null
304,42.50727030000007,-110.45046259999998,"54130","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",2.53,null
360,41.254299100000026,-110.06490329999997,"40057","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.7,null
362,41.38348830000006,-110.06019479999998,"47709","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",2.6,null
382,37.27459000000004,-109.72698999999994,"45180","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",2.2,null
391,35.07708550000007,-109.61361379999994,"45663","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",2.6,null
397,35.060710000000014,-109.58554,"38752","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",4.2,null
405,35.06201000000004,-109.58404999999999,"46171","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",20.4,null
414,35.10218000000003,-109.56107999999995,"38230","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",12.8,null
421,58.371136858000035,-109.54050841499998,"Cluff Lake, 19","Zgonnik, V. (2020). The occurrence and geoscience of natural hydrogen: A comprehensive review. Earth-Science Reviews, 203, 103140. https://doi.org/10.1016/j.earscirev.2020.103140",19,null
457,39.42112550000007,-109.34408629999996,"46168","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",26.3,null
461,39.329740000000065,-109.33466999999996,"46325","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",2.4,null
577,39.333920000000035,-109.07233999999994,"44905","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",8.4,null
668,36.93901600000004,-108.69789999999995,"44269","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",7.2,null
675,36.942169810000046,-108.69969482999994,"80018607","USGS (2014). Energy Geochemistry DB_9_2014. https://certmapper.cr.usgs.gov/data/apps/geochem-db/",11.5,null
735,43.246585400000065,-108.52272989999994,"46390","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",3.7,null
736,43.246585400000065,-108.52272989999994,"46391","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",6.4,null
760,42.94100640000005,-108.34182909999997,"39364","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.1,null
827,36.39919020000008,-108.03330289999997,"38282","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.1,null
846,36.68030760000005,-107.90197149999995,"51335","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",2.3,null
880,53.141634991000046,-107.76743094799997,"Rabbit Lake, 21","Zgonnik, V. (2020). The occurrence and geoscience of natural hydrogen: A comprehensive review. Earth-Science Reviews, 203, 103140. https://doi.org/10.1016/j.earscirev.2020.103140",21,null
888,39.29610800000004,-107.72633399999995,"45611","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",2.1,null
952,35.021800000000034,-107.31859999999995,"38903","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",31.8,null
953,35.021800000000034,-107.31859999999995,"38907","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",4.7,null
968,34.55232620000003,-106.82537839999998,"42615","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",2.17,null
