B11,B12,B2,B3,B4,B8,H2_pct,H2_ppm,OBJECTID,sid_vs_mean
2586.000,2438.000,9024.000,8796.000,8867.200,8412.000,29.200,N/A,7.000,0.097280626215006
1954.000,1900.500,6882.000,6432.000,6112.000,5880.000,51.500,N/A,8.000,0.08962612144004928
1853.750,1367.167,476.765,665.714,719.429,1883.000,15.700,N/A,177.000,0.3759915046942204
2175.650,1647.875,798.267,1118.429,1242.286,1883.556,39.200,N/A,178.000,0.21250421472492442
2403.444,1768.600,609.800,791.600,800.444,2609.929,34.000,N/A,180.000,0.4242789693191711
1366.750,688.429,215.900,418.053,281.571,2909.750,50.900,N/A,181.000,0.816268752863989
1517.488,1132.960,794.564,929.840,984.413,1758.909,4.100,N/A,182.000,0.1297747902223969
2254.300,1484.250,603.840,990.714,987.471,2395.692,14.700,N/A,183.000,0.30761532655797785
1833.833,1778.333,7556.000,7512.000,7336.000,6894.000,10.800,N/A,186.000,0.13089400332110807
2889.000,2033.000,539.250,735.889,1186.400,2976.000,1.100,N/A,189.000,0.48746188246797484
1682.000,1133.400,410.591,534.000,667.227,1995.500,70.000,N/A,205.000,0.40825085623786894
3108.000,2447.333,2561.978,2967.000,3131.933,3323.167,57.700,N/A,207.000,0.034764146682910654
3151.000,2415.333,860.400,1116.400,1256.308,2716.800,13.300,N/A,209.000,0.3636298172141491
4437.333,3960.667,2015.636,2529.750,2962.000,3464.000,4.100,N/A,213.000,0.18968954577642858
3287.800,2398.333,2062.000,2157.000,2295.167,2741.667,19.500,N/A,240.000,0.09827725083319508
2332.300,1706.667,5029.333,4837.000,4682.000,5100.000,2.000,N/A,267.000,0.03212936963526872
3748.250,3440.500,1253.714,1697.667,2515.750,3152.000,3.820,N/A,288.000,0.2701750691414422
2329.000,1973.500,3822.250,3559.000,3539.000,3708.000,1.100,N/A,295.000,0.004165313865450055
2329.000,1973.500,3822.250,3559.000,3539.000,3708.000,1.600,N/A,296.000,0.004165313865450055
2108.250,1583.000,2113.500,2217.500,2132.000,3517.000,2.530,N/A,304.000,0.02396531469050874
2959.250,2708.667,2902.000,2830.000,2635.000,3460.000,1.700,N/A,360.000,0.03782079373147878
2953.000,2675.000,2298.500,2359.000,2552.500,3034.500,2.600,N/A,362.000,0.06703131704601403
4487.000,4328.000,1248.615,1890.800,3049.100,3673.333,2.200,N/A,382.000,0.32877927973832644
3241.250,2988.250,1050.222,1315.091,1953.200,2405.000,2.600,N/A,391.000,0.31015696381612956
3868.625,3597.000,982.136,1378.737,2590.538,3104.167,4.200,N/A,397.000,0.36681872095068835
3508.333,3363.000,1045.222,1386.316,2458.818,3029.444,20.400,N/A,405.000,0.3191412007009341
3490.250,3183.500,1119.286,1502.933,2207.294,2777.857,12.800,N/A,414.000,0.2913294677084901
1910.000,1681.667,4481.600,4376.500,4452.000,5150.000,19.000,N/A,421.000,0.03660954552530815
2783.167,2204.000,2309.000,2129.500,1950.625,2732.000,26.300,N/A,457.000,0.06703501753320285
2354.500,1996.000,1061.143,1375.000,1634.571,2592.667,2.400,N/A,461.000,0.16511783560179877
3387.000,3038.000,1164.000,1564.000,2011.400,2572.833,8.400,N/A,577.000,0.27348782054962445
5196.000,4815.909,1885.750,2533.286,3103.172,3520.656,7.200,N/A,668.000,0.275340885045522
4428.400,4082.429,1834.000,2391.714,2854.111,3242.286,11.500,N/A,675.000,0.22544869377560145
3628.375,3281.000,1305.902,1633.667,1953.854,2528.000,3.700,N/A,735.000,0.2879783777316535
3628.375,3281.000,1305.902,1633.667,1953.854,2528.000,6.400,N/A,736.000,0.2879783777316535
3217.667,2775.250,1181.385,1499.333,1898.667,2529.333,1.100,N/A,760.000,0.24999936614151497
4181.182,3793.000,1337.366,1823.026,2464.027,3101.727,1.100,N/A,827.000,0.29972560903061357
4322.467,3740.000,2081.371,2584.229,2845.733,3291.238,2.300,N/A,846.000,0.1735450433315991
2766.100,2479.077,3372.667,3288.000,3366.000,4324.600,21.000,N/A,880.000,0.006198264600790263
2318.000,1648.800,2194.500,2247.000,2457.500,3572.333,2.100,N/A,888.000,0.022305063889698544
3662.000,3301.500,1236.000,1763.556,2076.000,2842.000,31.800,N/A,952.000,0.27523211617354704
3662.000,3301.500,1236.000,1763.556,2076.000,2842.000,4.700,N/A,953.000,0.27523211617354704
4620.250,4202.333,2087.250,2751.667,3582.917,4120.444,2.170,N/A,968.000,0.1714906620297285
4620.250,4202.333,2087.250,2751.667,3582.917,4120.444,1.920,N/A,969.000,0.1714906620297285
4620.250,4202.333,2087.250,2751.667,3582.917,4120.444,2.060,N/A,970.000,0.1714906620297285
2318.333,2286.333,795.933,1054.100,1620.727,2266.000,1.000,N/A,973.000,0.27330512535497004
3162.500,2746.000,1048.632,1440.727,1894.857,2709.556,18.900,N/A,974.000,0.26660105897348707
2481.000,2164.000,995.571,1239.600,1492.400,2221.500,76.300,N/A,976.000,0.2203892307410474
3680.571,3231.821,1253.750,1632.667,2088.400,3011.944,1.900,N/A,1022.000,0.2751243805157374
2736.800,2342.000,797.500,1119.500,1516.000,2652.000,1.910,N/A,1052.000,0.30947370565571347
3976.625,3277.286,1365.000,1758.667,2258.500,3352.000,2.290,N/A,1292.000,0.2592915456945867
2739.250,2217.333,3132.000,3060.000,2808.000,3748.000,1.000,N/A,1317.000,0.010587336367177352
3479.667,2769.400,923.438,1181.800,1504.500,2399.333,5.200,N/A,1354.000,0.38083261674908686
4345.917,3792.000,1080.000,1505.429,2192.000,3070.000,1.300,N/A,1423.000,0.3929417285738853
4464.000,3767.000,1879.429,2427.133,3182.000,4095.200,1.100,N/A,1424.000,0.182423931729497
3018.250,2413.375,857.923,1061.120,1304.857,2078.571,2.800,N/A,1427.000,0.36354120134376033
3340.857,2676.000,948.273,1311.600,1634.952,3046.000,1.400,N/A,1431.000,0.32113203714090127
3021.222,2290.667,993.381,1303.760,1581.167,2654.000,3.600,N/A,1460.000,0.2623452672893116
3205.667,2640.000,970.903,1442.211,1956.909,2842.000,6.700,N/A,1490.000,0.2716719417283077
3570.000,2988.333,1089.778,1439.333,1885.733,2777.556,6.100,N/A,1491.000,0.30796762635949027
2830.000,2224.500,686.958,957.280,1119.231,2326.333,2.500,N/A,1492.000,0.40083252377485973
2925.778,2293.500,799.696,1052.100,1312.455,2578.000,6.500,N/A,1526.000,0.3488843843313291
4302.286,3790.500,1251.182,1821.647,2530.857,3810.000,1.100,N/A,1901.000,0.3054118986385653
4302.286,3790.500,1251.182,1821.647,2530.857,3810.000,1.300,N/A,1902.000,0.3054118986385653
3064.250,2368.500,725.000,991.800,1042.500,2504.000,1.100,N/A,2010.000,0.4335505372253431
3251.667,2717.000,986.750,1242.800,1549.000,3107.333,2.700,N/A,2047.000,0.3253366760296774
3358.000,2606.667,999.875,1270.756,1496.429,2790.667,5.600,N/A,2145.000,0.3240756274088395
3358.000,2606.667,999.875,1270.756,1496.429,2790.667,17.900,N/A,2146.000,0.3240756274088395
