ID,Latitude,Longitude,CH4(%),CO2(%),O2(%),H2(ppm)
M7,58.231111215000055,-155.0822221,29.2,29.2,29.2,29.2
8,59.36543458400008,-153.4417221,51.5,51.5,51.5,51.5
177,38.62272259500001,-123.134603,15.7,15.7,15.7,15.7
178,38.62163796200007,-123.1324794,39.2,39.2,39.2,39.2
180,38.62161100000003,-123.131528,34,34,34,34
181,38.59601124700003,-123.1226316,50.9,50.9,50.9,50.9
182,39.70640000000003,-122.9251,4.1,4.1,4.1,4.1
183,38.59696776800006,-122.602134,14.7,14.7,14.7,14.7
186,46.191199997000076,-122.1944,10.8,10.8,10.8,10.8
189,38.00986000000005,-121.97919,1.1,1.1,1.1,1.1
205,35.870000005000065,-121.2735,70,70,70,70
207,37.09884538600004,-121.0478846,57.7,57.7,57.7,57.7
209,35.89904100000006,-120.432774,13.3,13.3,13.3,13.3
213,35.22946944400007,-119.5811972,4.1,4.1,4.1,4.1
240,47.50399600000002,-111.5454915,19.5,19.5,19.5,19.5
267,43.22977490000005,-111.2534927,2,2,2,2
288,34.83000000000003,-110.62,3.82,3.82,3.82,3.82
295,42.51267000000007,-110.47765,1.1,1.1,1.1,1.1
296,42.51267000000007,-110.47765,1.6,1.6,1.6,1.6
304,42.50727030000007,-110.4504626,2.53,2.53,2.53,2.53
360,41.254299100000026,-110.0649033,1.7,1.7,1.7,1.7
362,41.38348830000006,-110.0601948,2.6,2.6,2.6,2.6
382,37.27459000000004,-109.72699,2.2,2.2,2.2,2.2
391,35.07708550000007,-109.6136138,2.6,2.6,2.6,2.6
397,35.060710000000014,-109.58554,4.2,4.2,4.2,4.2
405,35.06201000000004,-109.58405,20.4,20.4,20.4,20.4
414,35.10218000000003,-109.56108,12.8,12.8,12.8,12.8
421,58.371136858000035,-109.5405084,19,19,19,19
457,39.42112550000007,-109.3440863,26.3,26.3,26.3,26.3
461,39.329740000000065,-109.33467,2.4,2.4,2.4,2.4
577,39.333920000000035,-109.07234,8.4,8.4,8.4,8.4
668,36.93901600000004,-108.6979,7.2,7.2,7.2,7.2
675,36.942169810000046,-108.6996948,11.5,11.5,11.5,11.5
735,43.246585400000065,-108.5227299,3.7,3.7,3.7,3.7
736,43.246585400000065,-108.5227299,6.4,6.4,6.4,6.4
760,42.94100640000005,-108.3418291,1.1,1.1,1.1,1.1
827,36.39919020000008,-108.0333029,1.1,1.1,1.1,1.1
846,36.68030760000005,-107.9019715,2.3,2.3,2.3,2.3
880,53.141634991000046,-107.7674309,21,21,21,21
888,39.29610800000004,-107.726334,2.1,2.1,2.1,2.1
952,35.021800000000034,-107.3186,31.8,31.8,31.8,31.8
953,35.021800000000034,-107.3186,4.7,4.7,4.7,4.7
968,34.55232620000003,-106.8253784,2.17,2.17,2.17,2.17
969,34.55232620000003,-106.8253784,1.92,1.92,1.92,1.92
970,34.55232620000003,-106.8253784,2.06,2.06,2.06,2.06
973,36.297050000000056,-106.34786,1,1,1,1
974,35.13480000000004,-106.2532,18.9,18.9,18.9,18.9
976,37.79356500000006,-106.173413,76.3,76.3,76.3,76.3
1022,40.18732000000004,-104.67987,1.9,1.9,1.9,1.9
1052,35.03505000000007,-104.43768,1.91,1.91,1.91,1.91
1292,41.13926870000005,-103.7458087,2.29,2.29,2.29,2.29
1317,47.916482600000045,-103.4619847,1,1,1,1
1354,35.62869730000005,-103.2113999,5.2,5.2,5.2,5.2
1423,33.017500000000034,-102.7523,1.3,1.3,1.3,1.3
1424,31.94530000000004,-102.7408,1.1,1.1,1.1,1.1
1427,38.47201000000006,-102.6954,2.8,2.8,2.8,2.8
1431,40.29092000000002,-102.55979,1.4,1.4,1.4,1.4
1460,38.65116850000003,-102.4292934,3.6,3.6,3.6,3.6
1490,35.38500000000005,-102.2763,6.7,6.7,6.7,6.7
1491,35.381400000000035,-102.2743,6.1,6.1,6.1,6.1
1492,35.37370000000004,-102.2738,2.5,2.5,2.5,2.5
1526,35.64960000000007,-102.1759,6.5,6.5,6.5,6.5
1901,33.57120000000003,-101.6937,1.1,1.1,1.1,1.1
1902,33.57120000000003,-101.6937,1.3,1.3,1.3,1.3
2010,30.615900000000074,-101.2798,1.1,1.1,1.1,1.1
2047,35.38270000000005,-101.1794,2.7,2.7,2.7,2.7
2145,30.79660000000006,-100.9168,5.6,5.6,5.6,5.6
2146,30.79660000000006,-100.9168,17.9,17.9,17.9,17.9
2301,35.579077000000034,-100.214424,1,1,1,1
2317,30.90320000000002,-100.1599,1.1,1.1,1.1,1.1
2420,34.005300000000034,-99.5366,1.9,1.9,1.9,1.9
2450,36.352543800000035,-99.432012,6.6,6.6,6.6,6.6
2500,29.159900000000043,-99.3127,4.6,4.6,4.6,4.6
2627,37.401742600000034,-99.0433718,1.4,1.4,1.4,1.4
2656,38.326487400000076,-99.0046484,1.4,1.4,1.4,1.4
2812,26.420500000000054,-98.4817,8.1,8.1,8.1,8.1
2936,33.43910000000005,-98.0112,1.1,1.1,1.1,1.1
3055,26.648200000000028,-97.4743,2.2,2.2,2.2,2.2
3158,38.81823600000007,-96.7964814,56,56,56,56
3160,38.886472800000035,-96.7445017,80,80,80,80
3178,36.31250700000003,-96.6170113,1,1,1,1
3194,39.16045950000005,-96.4439447,91.8,91.8,91.8,91.8
3227,31.820000000000043,-96.3038,3.2,3.2,3.2,3.2
3266,34.77479670000002,-96.115496,1.12,1.12,1.12,1.12
3339,39.927615100000025,-95.5449955,17.2,17.2,17.2,17.2
3427,35.23741890000007,-94.6838435,2.4,2.4,2.4,2.4
3519,42.63549461000007,-94.04073999,96.3,96.3,96.3,96.3
3534,42.623327424000074,-94.00099772,33.7,33.7,33.7,33.7
3730,32.05371000000003,-90.06583,1.04,1.04,1.04,1.04
3738,13.92594899900007,-89.841138,40,40,40,40
3759,31.448470000000032,-88.38167,1.74,1.74,1.74,1.74
3789,37.730362900000046,-87.1461006,4.6,4.6,4.6,4.6
3823,36.25990990000002,-84.9415068,1.2,1.2,1.2,1.2
3841,36.16853510000004,-84.5865513,1.1,1.1,1.1,1.1
3861,42.267750905000064,-83.83623816,26,26,26,26
3869,42.20088712800003,-83.48451063,25.6,25.6,25.6,25.6
4042,48.475725849000064,-81.33047934,12.7,12.7,12.7,12.7
4058,46.48999998700003,-81.01000001,57.8,57.8,57.8,57.8
4211,42.02673900000007,-78.32237,1,1,1,1
4222,42.09152000000006,-77.737939,1,1,1,1
4259,-40.45,-72.183333,2.17,2.17,2.17,2.17
4270,5.582404951000046,-69.2063055,5.6361,5.6361,5.6361,5.6361
4271,-25.117966,-68.524152,7.1,7.1,7.1,7.1
4287,56.31786783200004,-64.19843289,35,35,35,35
4289,64.25000000000004,-50.966667,68.44,68.44,68.44,68.44
4290,67.00824858300007,-50.6881001,12.6,12.6,12.6,12.6
4291,60.916526780000076,-46.06519568,12.6,12.6,12.6,12.6
4293,60.97906319800004,-45.90038973,18.8,18.8,18.8,18.8
4294,61.15588250600007,-45.41942228,93.1,93.1,93.1,93.1
4428,38.23000000000008,-26.63,2.1749,2.1749,2.1749,2.1749
4429,38.23000000000008,-26.63,1.6479,1.6479,1.6479,1.6479
4438,64.10649195900004,-21.25619995,46.4,46.4,46.4,46.4
4439,63.30170690700003,-20.60364038,34.4,34.4,34.4,34.4
4440,63.43226471400004,-20.2473335,54,54,54,54
4441,63.98685142800009,-19.67354093,67,67,67,67
4442,64.64716607900004,-19.25162569,36,36,36,36
4443,63.91609731300008,-19.16687925,22.2,22.2,22.2,22.2
4444,63.990198239000065,-19.06070487,36,36,36,36
4445,65.87652767100006,-16.95970492,19,19,19,19
4446,65.63876788400006,-16.83764911,64,64,64,64
4447,65.64058348100006,-16.80918054,24.1,24.1,24.1,24.1
4448,65.64200631400007,-16.80734959,57.3,57.3,57.3,57.3
4449,65.02996632800006,-16.74225244,14,14,14,14
4450,64.67312037300007,-16.68948913,16.6,16.6,16.6,16.6
4457,13.070204000000045,-8.244819,98.5,98.5,98.5,98.5
4462,41.894111000000066,0.2203330000000392,25,25,25,25
4463,49.200000000000045,2.9500000000000455,52,52,52,52
4465,44.72610093900004,5.407459037000024,14.1,14.1,14.1,14.1
4468,50.75056245400003,8.081571701,24.6,24.6,24.6,24.6
4478,54.93815013700003,8.864730124000062,16,16,16,16
4479,52.760231000000026,9.155350000000055,13.3,13.3,13.3,13.3
4480,51.20020277800007,10.46054444400005,61.5,61.5,61.5,61.5
4482,51.29780300300006,11.434854002000064,12.9,12.9,12.9,12.9
4483,49.105219996000066,11.442402001000062,22.1,22.1,22.1,22.1
4484,51.860899010000026,11.579038996000065,93,93,93,93
4485,51.52699203800006,11.828167998000024,11.3,11.3,11.3,11.3
4486,-1.635236805,13.57899769100004,100,100,100,100
4487,37.75671738700003,14.999034326000073,57.8,57.8,57.8,57.8
4488,51.42186944400003,16.222908333000078,73.1,73.1,73.1,73.1
4493,44.647791059000035,18.228142692000063,48.3,48.3,48.3,48.3
4495,54.673048126000026,20.630768302000035,37.5,37.5,37.5,37.5
4497,61.486694000000064,21.798194000000024,30.4,30.4,30.4,30.4
4498,44.516667000000034,22.166667000000075,28.7,28.7,28.7,28.7
4499,44.93055600000009,22.416667000000075,1.85,1.85,1.85,1.85
4500,44.93055600000009,22.416667000000075,1.76,1.76,1.76,1.76
4501,62.94050000000004,22.513083000000048,11.4,11.4,11.4,11.4
4503,49.31080184500007,23.561399892000054,34,34,34,34
4504,56.41349329200004,24.199517159000035,26.7,26.7,26.7,26.7
4505,49.025009024000035,24.32915464200005,34,34,34,34
4506,-28.73894234,24.75790334600003,43.1,43.1,43.1,43.1
4507,59.69875485000006,25.023051754000047,20.8,20.8,20.8,20.8
4508,-28.03064833,26.70673954800003,50,50,50,50
4509,52.73059894900006,27.434731144000068,23.9,23.9,23.9,23.9
4510,57.32449675400004,27.571030834000055,42.6,42.6,42.6,42.6
4511,-26.2307202,27.961780877000024,77.5,77.5,77.5,77.5
4512,-26.22747394,28.11055331500006,15.2,15.2,15.2,15.2
4513,-26.19883918,28.176691652000045,24,24,24,24
4514,-26.47105591,28.455041435000055,11.5,11.5,11.5,11.5
4515,-25.6668285,28.50000627000003,59,59,59,59
4517,49.10008291800004,29.106875000000056,53.5,53.5,53.5,53.5
4518,51.81091721800004,29.157199966000064,95.2,95.2,95.2,95.2
4519,-1.516824688,29.250060434000034,14.9,14.9,14.9,14.9
4520,63.23975415500007,29.255160002000025,12.8,12.8,12.8,12.8
