     Longitude   Latitude
0   115.962600 -30.564825
1   115.978100 -30.573300
2   115.962600 -30.564825
3   115.977500 -30.573300
4   115.962600 -30.564849
5   115.977500 -30.573300
6   115.962600 -30.564833
7   115.977500 -30.573300
8   115.962600 -30.564833
9   115.977500 -30.573200
10  115.985100 -30.571467
11  115.977600 -30.572700
12  115.977600 -30.573245
13  115.977600 -30.572700
14  115.977600 -30.573245
15  115.977500 -30.573200
16  115.977600 -30.573245
17  115.977400 -30.573200
18  115.977600 -30.573245
19  115.977400 -30.573200
20  115.977600 -30.573245
21  115.977500 -30.573300
22  115.977600 -30.573245
23  115.977500 -30.573300
24  115.977600 -30.573245
25  115.977500 -30.573400
26  115.977600 -30.573245
27  115.977700 -30.573700
28  115.977600 -30.573245
29  115.977600 -30.573245
30  115.978000 -30.573300
31  115.963800 -30.627500
32  115.977600 -30.573245
33  115.964000 -30.626300
34  115.977500 -30.573248
35  115.964000 -30.626300
36  115.977500 -30.573248
37  115.963900 -30.626300
38  115.977500 -30.573248
39  115.963700 -30.627600
40  115.977500 -30.573248
41  115.963900 -30.626300
42  115.977100 -30.573497
43  115.963700 -30.627600
44  115.977100 -30.573663
45  115.964500 -30.626200
46  115.977000 -30.573951
47  115.963900 -30.626300
48  115.977100 -30.574115
49  115.963900 -30.626300
50  115.977900 -30.574550
51  115.963900 -30.626300
52  115.977900 -30.574550
53  115.963800 -30.627600
54  115.977900 -30.574510
55  115.963800 -30.627600
56  115.977900 -30.574562
57  115.963900 -30.627800
58  115.978000 -30.574512
59  115.984000 -30.371000
60  115.978200 -30.574642
61  115.983900 -30.370900
62  115.978300 -30.574354
63  115.776500 -30.467000
64  115.978300 -30.574237
65  115.777200 -30.467000
66  115.978400 -30.574208
67  115.776700 -30.467000
68  115.978300 -30.573815
69  115.779800 -30.466600
70  115.978500 -30.573762
71  115.779900 -30.466800
72  115.978400 -30.574208
73  115.780400 -30.463800
74  115.978300 -30.573392
75  115.780900 -30.463600
76  115.977600 -30.573248
77  115.977500 -30.573248
78  115.977500 -30.573248
79 -155.082222  58.231111
80 -153.441722  59.365435
81 -123.134603  38.622723
82 -123.132479  38.621638
83 -123.131528  38.621611
84 -123.122632  38.596011
85 -122.925100  39.706400
86 -122.602134  38.596968
87 -122.194400  46.191200
88 -121.979190  38.009860
89 -121.273500  35.870000
